DATE       TIME         DOY     DST                                  
2018-02-06 11:00:00.000 037         4.00
2018-02-06 12:00:00.000 037         7.00
2018-02-06 13:00:00.000 037         5.00
2018-02-06 14:00:00.000 037         5.00
2018-02-06 15:00:00.000 037         6.00
2018-02-06 16:00:00.000 037         5.00
2018-02-06 17:00:00.000 037         6.00
2018-02-06 18:00:00.000 037         4.00
2018-02-06 19:00:00.000 037         6.00
2018-02-06 20:00:00.000 037         8.00
2018-02-06 21:00:00.000 037        10.00
2018-02-06 22:00:00.000 037        15.00
2018-02-06 23:00:00.000 037        13.00
2018-02-07 00:00:00.000 038        10.00
2018-02-07 01:00:00.000 038         7.00
2018-02-07 02:00:00.000 038         6.00
2018-02-07 03:00:00.000 038         5.00
2018-02-07 04:00:00.000 038         5.00
2018-02-07 05:00:00.000 038         5.00
2018-02-07 06:00:00.000 038         5.00
2018-02-07 07:00:00.000 038         5.00
2018-02-07 08:00:00.000 038         9.00
2018-02-07 09:00:00.000 038        12.00
2018-02-07 10:00:00.000 038        13.00
2018-02-07 11:00:00.000 038        13.00
2018-02-07 12:00:00.000 038         9.00
2018-02-07 13:00:00.000 038         6.00
2018-02-07 14:00:00.000 038         7.00
2018-02-07 15:00:00.000 038         7.00
2018-02-07 16:00:00.000 038         5.00
2018-02-07 17:00:00.000 038         5.00
2018-02-07 18:00:00.000 038         7.00
2018-02-07 19:00:00.000 038        10.00
2018-02-07 20:00:00.000 038        11.00
2018-02-07 21:00:00.000 038        14.00
2018-02-07 22:00:00.000 038        16.00
2018-02-07 23:00:00.000 038        15.00
2018-02-08 00:00:00.000 039        13.00
2018-02-08 01:00:00.000 039        11.00
2018-02-08 02:00:00.000 039        12.00
2018-02-08 03:00:00.000 039        13.00
2018-02-08 04:00:00.000 039        12.00
2018-02-08 05:00:00.000 039        13.00
2018-02-08 06:00:00.000 039        14.00
2018-02-08 07:00:00.000 039        13.00
2018-02-08 08:00:00.000 039        11.00
2018-02-08 09:00:00.000 039         8.00
2018-02-08 10:00:00.000 039        11.00
2018-02-08 11:00:00.000 039        15.00
2018-02-08 12:00:00.000 039        17.00
2018-02-08 13:00:00.000 039        15.00
2018-02-08 14:00:00.000 039        14.00
2018-02-08 15:00:00.000 039        13.00
2018-02-08 16:00:00.000 039        10.00
2018-02-08 17:00:00.000 039        10.00
2018-02-08 18:00:00.000 039        12.00
2018-02-08 19:00:00.000 039        15.00
2018-02-08 20:00:00.000 039        14.00
2018-02-08 21:00:00.000 039        15.00
2018-02-08 22:00:00.000 039        19.00
2018-02-08 23:00:00.000 039        18.00
2018-02-09 00:00:00.000 040        16.00
2018-02-09 01:00:00.000 040        13.00
2018-02-09 02:00:00.000 040        13.00
2018-02-09 03:00:00.000 040        12.00
2018-02-09 04:00:00.000 040        10.00
2018-02-09 05:00:00.000 040         7.00
2018-02-09 06:00:00.000 040         7.00
2018-02-09 07:00:00.000 040         8.00
2018-02-09 08:00:00.000 040         7.00
2018-02-09 09:00:00.000 040         6.00
2018-02-09 10:00:00.000 040         6.00
2018-02-09 11:00:00.000 040         7.00
2018-02-09 12:00:00.000 040         9.00
2018-02-09 13:00:00.000 040         9.00
2018-02-09 14:00:00.000 040        10.00
2018-02-09 15:00:00.000 040        11.00
2018-02-09 16:00:00.000 040        11.00
2018-02-09 17:00:00.000 040        12.00
2018-02-09 18:00:00.000 040        13.00
2018-02-09 19:00:00.000 040        16.00
2018-02-09 20:00:00.000 040        18.00
2018-02-09 21:00:00.000 040        20.00
2018-02-09 22:00:00.000 040        20.00
2018-02-09 23:00:00.000 040        19.00
2018-02-10 00:00:00.000 041        16.00
2018-02-10 01:00:00.000 041        19.00
2018-02-10 02:00:00.000 041        22.00
2018-02-10 03:00:00.000 041        23.00
2018-02-10 04:00:00.000 041        22.00
2018-02-10 05:00:00.000 041        17.00
2018-02-10 06:00:00.000 041        16.00
2018-02-10 07:00:00.000 041        16.00
2018-02-10 08:00:00.000 041        13.00
2018-02-10 09:00:00.000 041        10.00
2018-02-10 10:00:00.000 041         7.00
2018-02-10 11:00:00.000 041         7.00
2018-02-10 12:00:00.000 041         5.00
2018-02-10 13:00:00.000 041         4.00
2018-02-10 14:00:00.000 041         7.00
2018-02-10 15:00:00.000 041         9.00
2018-02-10 16:00:00.000 041         5.00
2018-02-10 17:00:00.000 041         1.00
2018-02-10 18:00:00.000 041         3.00
2018-02-10 19:00:00.000 041         1.00
2018-02-10 20:00:00.000 041         1.00
2018-02-10 21:00:00.000 041         4.00
2018-02-10 22:00:00.000 041         7.00
2018-02-10 23:00:00.000 041         6.00
2018-02-11 00:00:00.000 042         2.00
2018-02-11 01:00:00.000 042         1.00
2018-02-11 02:00:00.000 042         6.00
2018-02-11 03:00:00.000 042        10.00
2018-02-11 04:00:00.000 042        10.00
2018-02-11 05:00:00.000 042         8.00
2018-02-11 06:00:00.000 042         7.00
2018-02-11 07:00:00.000 042         5.00
2018-02-11 08:00:00.000 042         3.00
2018-02-11 09:00:00.000 042         5.00
2018-02-11 10:00:00.000 042         9.00
2018-02-11 11:00:00.000 042        11.00
2018-02-11 12:00:00.000 042        12.00
2018-02-11 13:00:00.000 042        13.00
2018-02-11 14:00:00.000 042        11.00
2018-02-11 15:00:00.000 042        11.00
2018-02-11 16:00:00.000 042        10.00
2018-02-11 17:00:00.000 042        10.00
2018-02-11 18:00:00.000 042         9.00
2018-02-11 19:00:00.000 042        11.00
2018-02-11 20:00:00.000 042        14.00
2018-02-11 21:00:00.000 042        16.00
2018-02-11 22:00:00.000 042        18.00
2018-02-11 23:00:00.000 042        17.00
2018-02-12 00:00:00.000 043        17.00
2018-02-12 01:00:00.000 043        16.00
2018-02-12 02:00:00.000 043        17.00
2018-02-12 03:00:00.000 043        20.00
2018-02-12 04:00:00.000 043        20.00
2018-02-12 05:00:00.000 043        18.00
2018-02-12 06:00:00.000 043        15.00
2018-02-12 07:00:00.000 043        13.00
2018-02-12 08:00:00.000 043        13.00
2018-02-12 09:00:00.000 043        13.00
2018-02-12 10:00:00.000 043        15.00
2018-02-12 11:00:00.000 043        22.00
2018-02-12 12:00:00.000 043        26.00
2018-02-12 13:00:00.000 043        27.00
2018-02-12 14:00:00.000 043        26.00
2018-02-12 15:00:00.000 043        25.00
2018-02-12 16:00:00.000 043        20.00
2018-02-12 17:00:00.000 043        18.00
2018-02-12 18:00:00.000 043        17.00
2018-02-12 19:00:00.000 043        17.00
2018-02-12 20:00:00.000 043        21.00
2018-02-12 21:00:00.000 043        25.00
2018-02-12 22:00:00.000 043        28.00
2018-02-12 23:00:00.000 043        27.00
2018-02-13 00:00:00.000 044        25.00
2018-02-13 01:00:00.000 044        23.00
2018-02-13 02:00:00.000 044        21.00
2018-02-13 03:00:00.000 044        19.00
2018-02-13 04:00:00.000 044        17.00
2018-02-13 05:00:00.000 044        17.00
2018-02-13 06:00:00.000 044        18.00
2018-02-13 07:00:00.000 044        15.00
2018-02-13 08:00:00.000 044        16.00
2018-02-13 09:00:00.000 044        14.00
2018-02-13 10:00:00.000 044        15.00
2018-02-13 11:00:00.000 044        17.00
2018-02-13 12:00:00.000 044        20.00
2018-02-13 13:00:00.000 044        19.00
2018-02-13 14:00:00.000 044        15.00
2018-02-13 15:00:00.000 044        13.00
2018-02-13 16:00:00.000 044        11.00
2018-02-13 17:00:00.000 044        11.00
2018-02-13 18:00:00.000 044        11.00
2018-02-13 19:00:00.000 044        13.00
2018-02-13 20:00:00.000 044        13.00
2018-02-13 21:00:00.000 044        13.00
2018-02-13 22:00:00.000 044        11.00
2018-02-13 23:00:00.000 044         6.00
2018-02-14 00:00:00.000 045         3.00
2018-02-14 01:00:00.000 045         5.00
2018-02-14 02:00:00.000 045         9.00
2018-02-14 03:00:00.000 045         9.00
2018-02-14 04:00:00.000 045         7.00
2018-02-14 05:00:00.000 045         4.00
2018-02-14 06:00:00.000 045         6.00
2018-02-14 07:00:00.000 045         7.00
2018-02-14 08:00:00.000 045         6.00
2018-02-14 09:00:00.000 045         5.00
2018-02-14 10:00:00.000 045         6.00
2018-02-14 11:00:00.000 045        10.00
2018-02-14 12:00:00.000 045        12.00
2018-02-14 13:00:00.000 045        13.00
2018-02-14 14:00:00.000 045        14.00
2018-02-14 15:00:00.000 045        15.00
2018-02-14 16:00:00.000 045        13.00
2018-02-14 17:00:00.000 045        11.00
2018-02-14 18:00:00.000 045        10.00
2018-02-14 19:00:00.000 045        11.00
2018-02-14 20:00:00.000 045        10.00
2018-02-14 21:00:00.000 045        10.00
2018-02-14 22:00:00.000 045         9.00
2018-02-14 23:00:00.000 045         8.00
2018-02-15 00:00:00.000 046        11.00
2018-02-15 01:00:00.000 046        15.00
2018-02-15 02:00:00.000 046        17.00
2018-02-15 03:00:00.000 046        15.00
2018-02-15 04:00:00.000 046        12.00
2018-02-15 05:00:00.000 046        10.00
2018-02-15 06:00:00.000 046         9.00
2018-02-15 07:00:00.000 046         8.00
2018-02-15 08:00:00.000 046        12.00
2018-02-15 09:00:00.000 046        19.00
2018-02-15 10:00:00.000 046        17.00
2018-02-15 11:00:00.000 046        19.00
2018-02-15 12:00:00.000 046        22.00
2018-02-15 13:00:00.000 046        21.00
2018-02-15 14:00:00.000 046        18.00
2018-02-15 15:00:00.000 046         7.00
2018-02-15 16:00:00.000 046        -5.00
2018-02-15 17:00:00.000 046        -8.00
2018-02-15 18:00:00.000 046        -7.00
2018-02-15 19:00:00.000 046        -2.00
2018-02-15 20:00:00.000 046        -4.00
2018-02-15 21:00:00.000 046        -2.00
2018-02-15 22:00:00.000 046         1.00
2018-02-15 23:00:00.000 046         1.00
2018-02-16 00:00:00.000 047         7.00
2018-02-16 01:00:00.000 047        11.00
2018-02-16 02:00:00.000 047        13.00
2018-02-16 03:00:00.000 047        12.00
2018-02-16 04:00:00.000 047         8.00
2018-02-16 05:00:00.000 047        13.00
2018-02-16 06:00:00.000 047         5.00
2018-02-16 07:00:00.000 047        -1.00
2018-02-16 08:00:00.000 047         0.00
2018-02-16 09:00:00.000 047        -9.00
2018-02-16 10:00:00.000 047        -7.00
2018-02-16 11:00:00.000 047        -5.00
2018-02-16 12:00:00.000 047        -2.00
2018-02-16 13:00:00.000 047         0.00
2018-02-16 14:00:00.000 047         1.00
2018-02-16 15:00:00.000 047         5.00
2018-02-16 16:00:00.000 047         6.00
2018-02-16 17:00:00.000 047         6.00
2018-02-16 18:00:00.000 047         5.00
2018-02-16 19:00:00.000 047         6.00
2018-02-16 20:00:00.000 047         8.00
2018-02-16 21:00:00.000 047        11.00
2018-02-16 22:00:00.000 047         7.00
2018-02-16 23:00:00.000 047         4.00
2018-02-17 00:00:00.000 048         4.00
2018-02-17 01:00:00.000 048         4.00
2018-02-17 02:00:00.000 048         0.00
2018-02-17 03:00:00.000 048         0.00
2018-02-17 04:00:00.000 048        -2.00
2018-02-17 05:00:00.000 048        -7.00
2018-02-17 06:00:00.000 048       -10.00
2018-02-17 07:00:00.000 048       -13.00
2018-02-17 08:00:00.000 048       -18.00
2018-02-17 09:00:00.000 048       -18.00
2018-02-17 10:00:00.000 048       -15.00
2018-02-17 11:00:00.000 048       -11.00
2018-02-17 12:00:00.000 048       -11.00
2018-02-17 13:00:00.000 048        -7.00
2018-02-17 14:00:00.000 048        -7.00
2018-02-17 15:00:00.000 048        -4.00
2018-02-17 16:00:00.000 048        -6.00
2018-02-17 17:00:00.000 048        -6.00
2018-02-17 18:00:00.000 048        -5.00
2018-02-17 19:00:00.000 048         2.00
2018-02-17 20:00:00.000 048         5.00
2018-02-17 21:00:00.000 048         6.00
2018-02-17 22:00:00.000 048         8.00
2018-02-17 23:00:00.000 048         6.00
2018-02-18 00:00:00.000 049         4.00
2018-02-18 01:00:00.000 049         2.00
2018-02-18 02:00:00.000 049         6.00
2018-02-18 03:00:00.000 049         9.00
2018-02-18 04:00:00.000 049         7.00
2018-02-18 05:00:00.000 049         4.00
2018-02-18 06:00:00.000 049        -5.00
2018-02-18 07:00:00.000 049        -8.00
2018-02-18 08:00:00.000 049        -7.00
2018-02-18 09:00:00.000 049        -9.00
2018-02-18 10:00:00.000 049       -15.00
2018-02-18 11:00:00.000 049       -11.00
2018-02-18 12:00:00.000 049        -3.00
2018-02-18 13:00:00.000 049        -2.00
2018-02-18 14:00:00.000 049        -4.00
2018-02-18 15:00:00.000 049        -8.00
2018-02-18 16:00:00.000 049       -11.00
2018-02-18 17:00:00.000 049        -8.00
2018-02-18 18:00:00.000 049        -6.00
2018-02-18 19:00:00.000 049        -3.00
2018-02-18 20:00:00.000 049         0.00
2018-02-18 21:00:00.000 049         0.00
2018-02-18 22:00:00.000 049        -2.00
2018-02-18 23:00:00.000 049         1.00
2018-02-19 00:00:00.000 050         1.00
2018-02-19 01:00:00.000 050        -2.00
2018-02-19 02:00:00.000 050        -2.00
2018-02-19 03:00:00.000 050         0.00
2018-02-19 04:00:00.000 050        -8.00
